,Age,Income,BMI,Waist,Triglycerides,Creatinine,HDL,SYS_BP,DIA_BP
Age,1.0,0.053845780255545664,0.0075090385130644945,0.16118646130443845,0.13327925391728507,0.14953040327613815,0.058029639260233315,0.3964886806511184,-0.009754134989213776
Income,0.053845780255545664,1.0,-0.0376201169507038,-0.015375710471410122,0.019418653971969627,0.007209860511041641,0.0681955586094813,-0.022933575741379712,-0.0045822201616274325
BMI,0.0075090385130644945,-0.0376201169507038,1.0,0.8619327028806973,0.18670179365168077,-0.016401930111673454,-0.2595994671023088,-0.011077151774335289,0.16659499834670208
Waist,0.16118646130443845,-0.015375710471410122,0.8619327028806973,1.0,0.25573813150686875,0.031315206363410904,-0.3083427945202495,0.07358753468621387,0.2011935465979554
Triglycerides,0.13327925391728507,0.019418653971969627,0.18670179365168077,0.25573813150686875,1.0,0.033745589627437046,-0.46994368392535013,0.08910520816917772,0.14130320426268472
Creatinine,0.14953040327613815,0.007209860511041641,-0.016401930111673454,0.031315206363410904,0.033745589627437046,1.0,-0.06233624523850848,0.15798697176608228,0.03345247814338192
HDL,0.058029639260233315,0.0681955586094813,-0.2595994671023088,-0.3083427945202495,-0.46994368392535013,-0.06233624523850848,1.0,0.017727876841186756,-0.06901503337764953
SYS_BP,0.3964886806511184,-0.022933575741379712,-0.011077151774335289,0.07358753468621387,0.08910520816917772,0.15798697176608228,0.017727876841186756,1.0,0.5965268216972006
DIA_BP,-0.009754134989213776,-0.0045822201616274325,0.16659499834670208,0.2011935465979554,0.14130320426268472,0.03345247814338192,-0.06901503337764953,0.5965268216972006,1.0
